,Bedrock_t,Bedrock_t_low,Bedrock_t_high,Bedrock_bars,Bedrock_humidity,Bedrock_wind_speed,Bedrock_wind_deg,Bedrock_rain_short,Bedrock_rain_long,Bedrock_snow,Bedrock_clouds,Bedrock_weather_main,Bedrock_weather_description,Gotham City_t,Gotham City_t_low,Gotham City_t_high,Gotham City_bars,Gotham City_humidity,Gotham City_wind_speed,Gotham City_wind_deg,Gotham City_rain_short,Gotham City_rain_long,Gotham City_snow,Gotham City_clouds,Gotham City_weather_main,Gotham City_weather_description,New New York_t,New New York_t_low,New New York_t_high,New New York_bars,New New York_humidity,New New York_wind_speed,New New York_wind_deg,New New York_rain_short,New New York_rain_long,New New York_snow,New New York_clouds,New New York_weather_main,New New York_weather_description,Paperopoli_t,Paperopoli_t_low,Paperopoli_t_high,Paperopoli_bars,Paperopoli_humidity,Paperopoli_wind_speed,Paperopoli_wind_deg,Paperopoli_rain_short,Paperopoli_rain_long,Paperopoli_snow,Paperopoli_clouds,Paperopoli_weather_main,Paperopoli_weather_description,Springfield_t,Springfield_t_low,Springfield_t_high,Springfield_bars,Springfield_humidity,Springfield_wind_speed,Springfield_wind_deg,Springfield_rain_short,Springfield_rain_long,Springfield_snow,Springfield_clouds,Springfield_weather_main,Springfield_weather_description,power_consumption
0,270.29200000000003,270.29200000000003,270.29200000000003,1004,71,2,321,0.0,0.0,0.0,0,clear,sky is clear,269.327,269.327,269.327,1035,97,1,224,0.0,0.0,0.0,0,clear,sky is clear,274.592,274.592,274.592,1039,81,4,57,0.0,0.0,0.0,0,clear,sky is clear,265.442,265.442,265.442,972,64,0,240,0.0,0.0,0.0,0,clear,sky is clear,280.467,280.467,280.467,1037,100,5,32,0.0,0.0,0.0,0,clear,sky is clear,19905.0
1,285.05065625,285.05065625,285.05065625,1015,52,1,248,0.0,0.0,0.0,0,clear,sky is clear,284.32934375,284.32934375,284.32934375,1036,48,1,194,0.0,0.0,0.0,0,clear,sky is clear,286.034,286.034,286.034,1039,60,4,53,0.0,0.0,0.0,0,clear,sky is clear,282.53765625,282.53765625,282.53765625,1036,47,1,15,0.0,0.0,0.0,0,clear,sky is clear,283.8043125,283.8043125,283.8043125,1035,57,3,275,0.0,0.0,0.0,0,clear,sky is clear,24672.0
2,275.0075,275.0075,275.0075,1021,81,1,220,0.0,0.0,0.0,0,clear,sky is clear,275.388,275.388,275.388,1036,87,1,196,0.0,0.0,0.0,16,clouds,few clouds,280.12,280.12,280.12,1038,78,2,45,0.0,0.0,0.0,0,clear,sky is clear,271.5075,271.5075,271.5075,1005,75,1,224,0.0,0.0,0.0,0,clear,sky is clear,283.945,283.945,283.945,1036,84,5,256,0.0,0.0,0.0,0,clear,sky is clear,29014.0
3,270.664,270.664,270.664,1005,82,1,275,0.0,0.0,0.0,0,clear,sky is clear,272.06065625,272.06065625,272.06065625,1036,93,1,264,0.0,0.0,0.0,0,clear,sky is clear,276.314,276.314,276.314,1043,85,3,44,0.0,0.0,0.0,0,clear,sky is clear,266.389,266.389,266.389,974,64,1,314,0.0,0.0,0.0,0,clear,sky is clear,281.8640000000001,281.8640000000001,281.8640000000001,1037,100,2,338,0.0,0.0,0.0,0,clear,sky is clear,22540.0
4,270.277,270.277,270.277,1006,78,1,284,0.0,0.0,0.0,0,clear,sky is clear,271.1866875,271.1866875,271.1866875,1037,94,1,275,0.0,0.0,0.0,6,clear,sky is clear,275.827,275.827,275.827,1043,88,3,55,0.0,0.0,0.0,0,clear,sky is clear,265.902,265.902,265.902,975,62,1,13,0.0,0.0,0.0,0,clear,sky is clear,281.452,281.452,281.452,1038,100,1,338,0.0,0.0,0.0,0,clear,sky is clear,22066.0
5,287.2833125,287.2833125,287.2833125,1036,37,1,275,0.0,0.0,0.0,0,clear,sky is clear,284.79165625,284.79165625,284.79165625,1038,52,1,264,0.0,0.0,0.0,20,clouds,few clouds,286.3546875,286.3546875,286.3546875,1042,74,3,52,0.0,0.0,0.0,0,clear,sky is clear,284.14165625,284.14165625,284.14165625,1038,47,1,354,0.0,0.0,0.0,0,clear,sky is clear,286.0583125,286.0583125,286.0583125,1035,50,2,264,0.0,0.0,0.0,0,clear,sky is clear,29241.0
6,284.49165625,284.49165625,284.49165625,1036,48,1,196,0.0,0.0,0.0,0,clear,sky is clear,282.35,282.35,282.35,1038,69,0,276,0.0,0.0,0.0,20,clouds,few clouds,285.88334375,285.88334375,285.88334375,1036,72,4,51,0.0,0.0,0.0,0,clear,sky is clear,282.5916875,282.5916875,282.5916875,1037,57,1,338,0.0,0.0,0.0,10,clear,sky is clear,286.0333125,286.0333125,286.0333125,1036,69,2,258,0.0,0.0,0.0,4,clear,sky is clear,27157.0
7,281.15934375,281.15934375,281.15934375,1036,59,1,194,0.0,0.0,0.0,0,clear,sky is clear,279.801,279.801,279.801,1038,79,1,234,0.0,0.0,0.0,20,clouds,few clouds,284.39265625,284.39265625,284.39265625,1036,78,3,51,0.0,0.0,0.0,0,clear,sky is clear,279.4343125,279.4343125,279.4343125,1037,68,1,324,0.0,0.0,0.0,21,clouds,few clouds,285.4676875,285.4676875,285.4676875,1036,84,2,260,0.0,0.0,0.0,8,clear,sky is clear,29045.0
8,271.967,271.967,271.967,1006,80,1,266,0.0,0.0,0.0,8,clear,sky is clear,272.84134375,272.84134375,272.84134375,1036,95,1,198,0.0,0.0,0.0,5,clear,sky is clear,276.217,276.217,276.217,1044,85,2,45,0.0,0.0,0.0,0,clear,sky is clear,267.742,267.742,267.742,976,61,1,61,0.0,0.0,0.0,0,clear,sky is clear,282.867,282.867,282.867,1037,100,3,322,0.0,0.0,0.0,12,clouds,few clouds,21296.0
9,271.969,271.969,271.969,1005,80,2,265,0.0,0.0,0.0,12,clouds,few clouds,273.4445,273.4445,273.4445,1036,92,1,219,0.0,0.0,0.0,10,clear,sky is clear,275.319,275.319,275.319,1044,84,2,44,0.0,0.0,0.0,0,clear,sky is clear,267.069,267.069,267.069,976,60,0,119,0.0,0.0,0.0,0,clear,sky is clear,282.219,282.219,282.219,1036,100,3,305,0.0,0.0,0.0,0,clear,sky is clear,22127.0
10,288.18425,288.18425,288.18425,1010,55,2,261,0.0,0.0,0.0,0,clear,sky is clear,280.7105,280.7105,280.7105,1036,70,1,253,0.0,0.0,0.0,0,clear,sky is clear,286.74675,286.74675,286.74675,1043,79,3,54,0.0,0.0,0.0,0,clear,sky is clear,283.36975,283.36975,283.36975,990,66,1,218,0.0,0.0,0.0,0,clear,sky is clear,286.8905,286.8905,286.8905,1033,88,1,265,0.0,0.0,0.0,0,clear,sky is clear,24770.0
11,277.502,277.502,277.502,1003,79,2,272,0.0,0.0,0.0,0,clear,sky is clear,274.7055,274.7055,274.7055,1037,94,1,241,0.0,0.0,0.0,0,clear,sky is clear,278.652,278.652,278.652,1043,87,1,38,0.0,0.0,0.0,0,clear,sky is clear,271.252,271.252,271.252,975,70,1,199,0.0,0.0,0.0,0,clear,sky is clear,285.46,285.46,285.46,1028,37,2,67,0.0,0.0,0.0,0,clear,sky is clear,28979.0
12,276.168,276.168,276.168,1003,78,2,278,0.0,0.0,0.0,0,clear,sky is clear,272.899,272.899,272.899,1037,97,0,269,0.0,0.0,0.0,0,clear,sky is clear,276.018,276.018,276.018,1042,80,1,29,0.0,0.0,0.0,0,clear,sky is clear,269.643,269.643,269.643,974,66,0,94,0.0,0.0,0.0,0,clear,sky is clear,285.65,285.65,285.65,1028,35,2,29,0.0,0.0,0.0,0,clear,sky is clear,26863.0
13,274.779,274.779,274.779,1002,75,2,282,0.0,0.0,0.0,0,clear,sky is clear,273.76565625,273.76565625,273.76565625,1036,96,1,233,0.0,0.0,0.0,60,clouds,broken clouds,277.85400000000004,277.85400000000004,277.85400000000004,1040,87,4,58,0.0,0.0,0.0,0,clear,sky is clear,268.47900000000004,268.47900000000004,268.47900000000004,973,65,1,59,0.0,0.0,0.0,0,clear,sky is clear,283.77,283.77,283.77,1027,65,1,0,0.0,0.0,0.0,0,clear,sky is clear,24035.0
14,277.761,277.761,277.761,1003,74,1,285,0.0,0.0,0.0,0,clear,sky is clear,276.59765625,276.59765625,276.59765625,1036,94,1,209,0.3,0.0,0.0,88,rain,light rain,278.761,278.761,278.761,1041,84,3,60,0.0,0.0,0.0,0,clear,sky is clear,271.386,271.386,271.386,973,70,1,0,0.0,0.0,0.0,0,clear,sky is clear,285.35,285.35,285.35,1027,68,1,315,0.0,0.0,0.0,0,clear,sky is clear,29871.0
15,277.761,277.761,277.761,1003,74,1,285,0.0,0.0,0.0,0,clear,sky is clear,278.079,278.079,278.079,1036,92,1,213,0.3,0.0,0.0,86,rain,light rain,278.761,278.761,278.761,1041,84,3,60,0.0,0.0,0.0,0,clear,sky is clear,271.386,271.386,271.386,973,70,1,0,0.0,0.0,0.0,0,clear,sky is clear,287.95,287.95,287.95,1028,61,1,112,0.0,0.0,0.0,0,clear,sky is clear,30585.0
16,289.6740000000001,289.6740000000001,289.6740000000001,1001,53,1,130,0.0,0.0,0.0,0,clear,sky is clear,282.435,282.435,282.435,1035,89,1,197,0.3,0.0,0.0,89,rain,light rain,289.492,289.492,289.492,1039,72,1,61,0.0,0.0,0.0,0,clear,sky is clear,286.642,286.642,286.642,970,59,1,295,0.0,0.0,0.0,0,clear,sky is clear,289.55,289.55,289.55,1026,64,1,157,0.0,0.0,0.0,12,clouds,few clouds,28249.0
17,273.553,273.553,273.553,1003,84,2,317,0.0,0.0,0.0,0,clear,sky is clear,273.55634375,273.55634375,273.55634375,1031,99,0,165,0.0,0.0,0.0,6,clear,sky is clear,275.528,275.528,275.528,1038,78,1,108,0.0,0.0,0.0,44,clouds,scattered clouds,270.453,270.453,270.453,969,65,1,68,0.0,0.0,0.0,0,clear,sky is clear,282.65,282.65,282.65,1027,81,1,337,0.0,0.0,0.0,0,clear,sky is clear,21182.0
18,277.061,277.061,277.061,1002,83,1,324,0.0,0.0,0.0,0,clear,sky is clear,273.12,273.12,273.12,1029,98,0,170,0.0,0.0,0.0,25,clouds,few clouds,279.439,279.439,279.439,1039,87,1,96,0.0,0.0,0.0,92,clouds,overcast clouds,269.839,269.839,269.839,969,68,1,97,0.0,0.0,0.0,0,clear,sky is clear,282.25,282.25,282.25,1027,82,1,337,0.0,0.0,0.0,0,clear,sky is clear,20796.0
19,275.77,275.77,275.77,998,91,0,108,0.0,0.0,0.0,0,clear,sky is clear,275.177,275.177,275.177,1026,96,1,182,0.0,0.0,0.0,2,clear,sky is clear,283.17,283.17,283.17,1036,94,1,25,0.0,0.0,0.0,92,clouds,overcast clouds,270.92,270.92,270.92,966,72,1,190,0.0,0.0,0.0,0,clear,sky is clear,284.95,284.95,284.95,1024,83,5,250,0.0,0.0,0.0,12,clouds,few clouds,22858.0
20,275.77,275.77,275.77,998,91,0,108,0.0,0.0,0.0,0,clear,sky is clear,274.136,274.136,274.136,1026,97,0,188,0.0,0.0,0.0,5,clear,sky is clear,283.17,283.17,283.17,1036,94,1,25,0.0,0.0,0.0,92,clouds,overcast clouds,270.92,270.92,270.92,966,72,1,190,0.0,0.0,0.0,0,clear,sky is clear,285.36,285.36,285.36,1024,86,1,0,0.0,0.0,0.0,12,clouds,few clouds,25604.0
21,274.8905,274.8905,274.8905,997,88,1,196,0.0,0.0,0.0,0,clear,sky is clear,272.82534375,272.82534375,272.82534375,1026,98,0,194,0.0,0.0,0.0,5,clear,sky is clear,282.753,282.753,282.753,1036,94,1,35,0.0,0.0,0.0,92,clouds,overcast clouds,270.003,270.003,270.003,965,70,1,191,0.0,0.0,0.0,0,clear,sky is clear,284.96,284.96,284.96,1023,87,5,253,0.0,0.0,0.0,34,clouds,scattered clouds,23822.0
22,273.142,273.142,273.142,995,86,1,265,0.0,0.0,0.0,0,clear,sky is clear,271.88934375,271.88934375,271.88934375,1027,98,0,201,0.0,0.0,0.0,13,clouds,few clouds,280.567,280.567,280.567,1035,96,3,64,0.0,0.0,0.0,20,clouds,few clouds,268.267,268.267,268.267,965,65,1,198,0.0,0.0,0.0,0,clear,sky is clear,284.65,284.65,284.65,1021,73,1,337,0.0,0.0,0.0,88,clouds,overcast clouds,21171.0
23,275.545,275.545,275.545,995,90,1,284,0.0,0.0,0.0,8,clear,sky is clear,273.6673125,273.6673125,273.6673125,1027,95,1,201,0.0,0.0,0.0,46,clouds,scattered clouds,280.545,280.545,280.545,1036,96,2,47,0.0,0.0,0.0,80,clouds,broken clouds,273.445,273.445,273.445,965,87,0,234,0.0,0.0,0.0,80,clouds,broken clouds,282.54,282.54,282.54,1021,74,1,337,0.0,0.0,0.0,44,clouds,scattered clouds,28456.0
24,275.545,275.545,275.545,995,90,1,284,0.0,0.0,0.0,8,clear,sky is clear,276.54,276.54,276.54,1027,89,1,200,0.0,0.0,0.0,44,clouds,scattered clouds,280.545,280.545,280.545,1036,96,2,47,0.0,0.0,0.0,80,clouds,broken clouds,273.445,273.445,273.445,965,87,0,234,0.0,0.0,0.0,80,clouds,broken clouds,287.86,287.86,287.86,1022,52,3,350,0.0,0.0,0.0,44,clouds,scattered clouds,30887.0
